,MappingNumber,EsteeID,Ticker, CurrTimeInMicroSeconds, BP1, BP2, BP3, AP1, AP2, AP3, BQ1, BQ2, BQ3, AQ1, AQ2, AQ3, LTP
0,129,BRAALRACNOR6BR00,AALR3,1621873829399785,10.53,10.52,10.51,10.54,10.55,10.56,1200,7100,600,2200,2200,1100,10.54
1,129,BRAALRACNOR6BR00,AALR3,1621873829401055,10.53,10.52,10.51,10.54,10.55,10.56,1300,7100,600,2200,2200,1100,10.54
2,129,BRAALRACNOR6BR00,AALR3,1621873831199008,10.52,10.51,10.5,10.54,10.55,10.56,6500,600,1500,2500,1900,1100,10.53
3,129,BRAALRACNOR6BR00,AALR3,1621873831199261,10.52,10.51,10.5,10.54,10.55,10.56,6500,600,1500,2500,1900,1100,10.53
4,129,BRAALRACNOR6BR00,AALR3,1621873831199967,10.52,10.51,10.5,10.54,10.55,10.56,6500,600,1500,2500,1900,1100,10.53
5,129,BRAALRACNOR6BR00,AALR3,1621873831201353,10.52,10.51,10.5,10.53,10.54,10.55,6600,600,1500,400,3100,1900,10.53
6,129,BRAALRACNOR6BR00,AALR3,1621873875091850,10.53,10.52,10.51,10.54,10.55,10.56,100,6600,1300,2400,2000,1100,10.54
7,129,BRAALRACNOR6BR00,AALR3,1621873875093175,10.53,10.52,10.51,10.54,10.55,10.56,200,7100,1300,2400,2000,1100,10.54
8,129,BRAALRACNOR6BR00,AALR3,1621873883960256,10.52,10.51,10.5,10.53,10.54,10.55,7100,600,3000,100,1300,2200,10.53
9,129,BRAALRACNOR6BR00,AALR3,1621873883960429,10.52,10.51,10.5,10.53,10.54,10.55,7100,600,3000,100,1300,2200,10.53
10,129,BRAALRACNOR6BR00,AALR3,1621873883961001,10.52,10.51,10.5,10.53,10.54,10.55,6500,600,3000,100,1300,2200,10.53
11,129,BRAALRACNOR6BR00,AALR3,1621873883962186,10.52,10.51,10.5,10.53,10.54,10.55,6600,600,3000,100,1900,2200,10.53
12,129,BRAALRACNOR6BR00,AALR3,1621873897058549,10.53,10.52,10.51,10.54,10.55,10.56,400,7200,600,900,2000,2600,10.53
13,129,BRAALRACNOR6BR00,AALR3,1621873897059914,10.53,10.52,10.51,10.54,10.55,10.56,500,7500,600,100,1600,2700,10.54
14,129,BRAALRACNOR6BR00,AALR3,1621873930411086,10.54,10.53,10.52,10.56,10.57,10.58,400,1700,6700,2100,3800,4600,10.56
15,129,BRAALRACNOR6BR00,AALR3,1621873930412466,10.54,10.53,10.52,10.56,10.57,10.58,1100,1600,6700,1600,3900,4700,10.56
16,129,BRAALRACNOR6BR00,AALR3,1621873932317605,10.55,10.54,10.53,10.56,10.57,10.58,500,1500,1900,500,4700,4700,10.56
17,129,BRAALRACNOR6BR00,AALR3,1621873932319004,10.55,10.54,10.53,10.56,10.57,10.58,600,1400,1900,500,4700,4700,10.56
18,129,BRAALRACNOR6BR00,AALR3,1621873943849800,10.56,10.55,10.54,10.57,10.58,10.59,200,1300,1000,3500,4700,4500,10.56
19,129,BRAALRACNOR6BR00,AALR3,1621873943851138,10.56,10.55,10.54,10.57,10.58,10.59,300,1200,1000,3400,4700,4600,10.56
20,129,BRAALRACNOR6BR00,AALR3,1621873943869699,10.56,10.55,10.54,10.57,10.58,10.59,100,1800,1000,2700,4100,4600,10.56
21,129,BRAALRACNOR6BR00,AALR3,1621873943870975,10.55,10.54,10.53,10.57,10.58,10.59,1900,1000,1100,2700,4100,4600,10.56
22,129,BRAALRACNOR6BR00,AALR3,1621873961127515,10.56,10.55,10.54,10.57,10.58,10.59,200,1300,1000,2800,4700,4600,10.56
23,129,BRAALRACNOR6BR00,AALR3,1621873961128774,10.56,10.55,10.54,10.57,10.58,10.59,300,1200,1000,2800,4700,4600,10.56
24,129,BRAALRACNOR6BR00,AALR3,1621873972737826,10.57,10.56,10.55,10.58,10.59,10.6,100,1700,1000,3500,4700,2200,10.58
25,129,BRAALRACNOR6BR00,AALR3,1621873972739061,10.57,10.56,10.55,10.58,10.59,10.6,200,2200,1000,3500,4700,2200,10.58
26,129,BRAALRACNOR6BR00,AALR3,1621873998664217,10.57,10.56,10.55,10.58,10.59,10.6,2800,600,1000,3300,2100,2200,10.58
27,129,BRAALRACNOR6BR00,AALR3,1621873998664474,10.56,10.55,10.54,10.57,10.58,10.59,600,1000,1000,200,1800,2100,10.57
28,129,BRAALRACNOR6BR00,AALR3,1621873998665894,10.56,10.54,10.53,10.57,10.58,10.59,100,1000,3400,600,1900,2200,10.57
29,129,BRAALRACNOR6BR00,AALR3,1621873998666182,10.56,10.54,10.53,10.57,10.58,10.59,100,1000,3400,600,2000,2200,10.57
30,129,BRAALRACNOR6BR00,AALR3,1621873998667573,10.54,10.53,10.52,10.57,10.58,10.59,1100,3400,6700,1000,2600,2100,10.57
31,129,BRAALRACNOR6BR00,AALR3,1621873998668859,10.56,10.54,10.53,10.57,10.58,10.59,400,1100,3400,1000,2600,2100,10.57
32,129,BRAALRACNOR6BR00,AALR3,1621873998670054,10.56,10.54,10.53,10.57,10.58,10.59,100,1000,3400,1000,2500,2100,10.57
33,129,BRAALRACNOR6BR00,AALR3,1621873998671367,10.56,10.54,10.53,10.57,10.58,10.59,100,1000,3400,1000,2600,2100,10.57
34,129,BRAALRACNOR6BR00,AALR3,1621873998672491,10.54,10.53,10.52,10.57,10.58,10.59,1100,3400,6700,1000,2600,2100,10.57
35,129,BRAALRACNOR6BR00,AALR3,1621874004057223,10.55,10.54,10.53,10.56,10.57,10.58,100,500,2400,1100,1700,2400,10.57
36,129,BRAALRACNOR6BR00,AALR3,1621874004058492,10.55,10.54,10.53,10.56,10.57,10.58,200,400,2400,700,1100,2400,10.57
37,129,BRAALRACNOR6BR00,AALR3,1621874012519689,10.55,10.54,10.53,10.57,10.58,10.59,100,1600,1800,1700,2500,2100,10.55
38,129,BRAALRACNOR6BR00,AALR3,1621874012519957,10.55,10.54,10.53,10.57,10.58,10.59,100,1600,1800,1700,2500,2100,10.55
39,129,BRAALRACNOR6BR00,AALR3,1621874012520158,10.55,10.54,10.53,10.57,10.58,10.59,100,1600,1800,2800,2500,2100,10.55
40,129,BRAALRACNOR6BR00,AALR3,1621874012521466,10.55,10.54,10.53,10.57,10.58,10.59,200,1000,1800,2800,2500,2100,10.55
41,129,BRAALRACNOR6BR00,AALR3,1621874018434384,10.55,10.54,10.53,10.57,10.58,10.59,100,1600,1000,2800,2600,2100,10.55
42,129,BRAALRACNOR6BR00,AALR3,1621874018435722,10.54,10.53,10.52,10.57,10.58,10.59,1100,1000,8300,2800,2600,2100,10.55
43,129,BRAALRACNOR6BR00,AALR3,1621874019130464,10.55,10.54,10.53,10.56,10.57,10.58,400,2200,1000,300,2100,2600,10.57
44,129,BRAALRACNOR6BR00,AALR3,1621874019131753,10.55,10.54,10.53,10.56,10.57,10.58,500,2100,1000,300,2000,2600,10.57
45,129,BRAALRACNOR6BR00,AALR3,1621874100573751,10.55,10.54,10.53,10.57,10.58,10.59,800,2000,1000,2600,2200,2100,10.55
46,129,BRAALRACNOR6BR00,AALR3,1621874100574423,10.55,10.54,10.53,10.57,10.58,10.59,400,2000,1000,2600,2200,2100,10.55
47,129,BRAALRACNOR6BR00,AALR3,1621874100575741,10.55,10.54,10.53,10.56,10.57,10.58,500,2000,1000,400,3100,2800,10.55
48,129,BRAALRACNOR6BR00,AALR3,1621874100575758,10.55,10.54,10.53,10.56,10.57,10.58,500,2000,1000,400,3100,2700,10.55
49,129,BRAALRACNOR6BR00,AALR3,1621874100576965,10.55,10.54,10.53,10.56,10.57,10.58,400,2100,1000,200,3100,2700,10.56
50,129,BRAALRACNOR6BR00,AALR3,1621874101081153,10.55,10.54,10.53,10.57,10.58,10.59,400,2100,1000,2700,2700,2100,10.56
51,129,BRAALRACNOR6BR00,AALR3,1621874101084374,10.55,10.54,10.53,10.57,10.58,10.59,500,2000,1000,3100,2700,2100,10.56
52,129,BRAALRACNOR6BR00,AALR3,1621874110899410,10.55,10.54,10.53,10.57,10.58,10.59,200,1900,1000,3100,2700,2100,10.55
