,MappingNumber,EsteeID,Ticker, CurrTimeInMicroSeconds, BP1, BP2, BP3, AP1, AP2, AP3, BQ1, BQ2, BQ3, AQ1, AQ2, AQ3, LTP
0,129,BRAALRACNOR6BR00,AALR3,1622046629028511,10.78,10.77,10.76,10.79,10.8,10.81,400,4100,1100,1100,2000,2700,10.78
1,129,BRAALRACNOR6BR00,AALR3,1622046629029686,10.78,10.77,10.76,10.79,10.8,10.81,500,4100,1100,1100,2000,2700,10.78
2,129,BRAALRACNOR6BR00,AALR3,1622046636261535,10.76,10.75,10.74,10.79,10.8,10.81,800,3900,2000,1100,2400,2300,10.76
3,129,BRAALRACNOR6BR00,AALR3,1622046636261714,10.76,10.75,10.74,10.79,10.8,10.81,800,3900,2000,1100,2400,2300,10.76
4,129,BRAALRACNOR6BR00,AALR3,1622046636262262,10.76,10.75,10.74,10.79,10.8,10.81,400,3900,2000,1100,2400,2300,10.76
5,129,BRAALRACNOR6BR00,AALR3,1622046636263568,10.76,10.75,10.74,10.78,10.79,10.8,100,3700,1500,1000,2000,2500,10.76
6,129,BRAALRACNOR6BR00,AALR3,1622046636263917,10.76,10.75,10.74,10.78,10.79,10.8,100,3700,1500,1300,2000,2500,10.76
7,129,BRAALRACNOR6BR00,AALR3,1622046636265127,10.76,10.75,10.74,10.78,10.79,10.8,700,3800,1500,1300,1600,2500,10.76
8,129,BRAALRACNOR6BR00,AALR3,1622046636266575,10.76,10.75,10.74,10.78,10.79,10.8,1700,3800,1500,1300,1600,2500,10.76
9,129,BRAALRACNOR6BR00,AALR3,1622046636267860,10.76,10.75,10.74,10.78,10.79,10.8,1800,3300,1500,1300,1200,2500,10.76
10,129,BRAALRACNOR6BR00,AALR3,1622046637098909,10.75,10.74,10.73,10.78,10.79,10.8,4000,1500,600,900,2100,2500,10.76
11,129,BRAALRACNOR6BR00,AALR3,1622046637099222,10.75,10.74,10.73,10.78,10.79,10.8,4000,1500,600,900,2100,2500,10.76
12,129,BRAALRACNOR6BR00,AALR3,1622046637099647,10.75,10.74,10.73,10.78,10.79,10.8,3400,1500,600,900,2100,2500,10.76
13,129,BRAALRACNOR6BR00,AALR3,1622046637100857,10.75,10.74,10.73,10.78,10.79,10.8,3500,1500,600,1300,2100,2500,10.76
14,129,BRAALRACNOR6BR00,AALR3,1622046637101469,10.76,10.75,10.74,10.77,10.78,10.79,400,3500,1500,400,1400,2100,10.76
15,129,BRAALRACNOR6BR00,AALR3,1622046637102602,10.76,10.75,10.74,10.77,10.78,10.79,500,3300,1500,700,1800,1700,10.76
16,129,BRAALRACNOR6BR00,AALR3,1622046640719899,10.77,10.76,10.75,10.78,10.79,10.8,200,1100,2400,1800,2100,3600,10.76
17,129,BRAALRACNOR6BR00,AALR3,1622046640721272,10.77,10.76,10.75,10.78,10.79,10.8,300,1000,2400,1400,2100,3600,10.76
18,129,BRAALRACNOR6BR00,AALR3,1622046640837071,10.77,10.76,10.75,10.78,10.79,10.8,100,1000,2400,1400,2100,3600,10.77
19,129,BRAALRACNOR6BR00,AALR3,1622046640838361,10.76,10.75,10.74,10.78,10.79,10.8,1000,2400,1500,1400,2100,3600,10.77
20,129,BRAALRACNOR6BR00,AALR3,1622046640979867,10.76,10.75,10.74,10.78,10.79,10.8,1000,2400,1500,1400,2100,3600,10.77
21,129,BRAALRACNOR6BR00,AALR3,1622046640981122,10.76,10.75,10.74,10.78,10.79,10.8,1100,2400,1500,1400,2100,3600,10.77
22,129,BRAALRACNOR6BR00,AALR3,1622046671165170,10.77,10.76,10.75,10.78,10.79,10.8,400,3300,2400,800,2000,3800,10.78
23,129,BRAALRACNOR6BR00,AALR3,1622046671166491,10.77,10.76,10.75,10.78,10.79,10.8,500,3600,2000,800,1500,3800,10.78
24,129,BRAALRACNOR6BR00,AALR3,1622046680102189,10.78,10.77,10.76,10.79,10.8,10.81,500,1200,2500,1300,4200,3100,10.78
25,129,BRAALRACNOR6BR00,AALR3,1622046680103529,10.78,10.77,10.76,10.79,10.8,10.81,600,1100,3100,700,4100,3100,10.78
26,129,BRAALRACNOR6BR00,AALR3,1622046736601480,10.79,10.78,10.77,10.8,10.81,10.82,500,2200,3000,3100,1900,900,10.79
27,129,BRAALRACNOR6BR00,AALR3,1622046736602711,10.79,10.78,10.77,10.8,10.81,10.82,600,2100,3000,3100,1800,900,10.79
28,129,BRAALRACNOR6BR00,AALR3,1622046736715801,10.79,10.78,10.77,10.8,10.81,10.82,100,2100,3000,3100,1400,1300,10.79
29,129,BRAALRACNOR6BR00,AALR3,1622046736717125,10.78,10.77,10.76,10.8,10.81,10.82,2200,3000,2100,3100,1800,900,10.79
30,129,BRAALRACNOR6BR00,AALR3,1622046787983556,10.79,10.78,10.77,10.8,10.81,10.82,500,2800,2900,3400,1700,2800,10.79
31,129,BRAALRACNOR6BR00,AALR3,1622046787984846,10.79,10.78,10.77,10.8,10.81,10.82,600,2700,2900,3400,1700,2800,10.79
32,129,BRAALRACNOR6BR00,AALR3,1622046799028399,10.79,10.78,10.77,10.8,10.81,10.82,800,1700,2500,3100,1200,3200,10.79
33,129,BRAALRACNOR6BR00,AALR3,1622046799028842,10.79,10.78,10.77,10.8,10.81,10.82,800,1300,2500,3100,1200,3200,10.79
34,129,BRAALRACNOR6BR00,AALR3,1622046799030054,10.79,10.78,10.77,10.8,10.81,10.82,900,1300,2300,3500,1600,2800,10.79
35,129,BRAALRACNOR6BR00,AALR3,1622046815054000,10.78,10.77,10.76,10.79,10.8,10.81,700,2900,4000,1300,2500,1800,10.79
36,129,BRAALRACNOR6BR00,AALR3,1622046815054201,10.78,10.77,10.76,10.79,10.8,10.81,700,2900,4000,1300,2500,1800,10.79
37,129,BRAALRACNOR6BR00,AALR3,1622046815054775,10.78,10.77,10.76,10.79,10.8,10.81,700,2500,4000,1300,2500,1800,10.79
38,129,BRAALRACNOR6BR00,AALR3,1622046815056066,10.78,10.77,10.76,10.79,10.8,10.81,800,1100,4400,1300,3500,1400,10.79
39,129,BRAALRACNOR6BR00,AALR3,1622046815208573,10.78,10.77,10.76,10.79,10.8,10.81,100,1100,4400,1300,3700,1400,10.79
40,129,BRAALRACNOR6BR00,AALR3,1622046815209846,10.77,10.76,10.75,10.79,10.8,10.81,1200,4400,2100,1300,3700,1400,10.79
41,129,BRAALRACNOR6BR00,AALR3,1622046817722501,10.78,10.77,10.76,10.79,10.8,10.81,500,1400,2500,1500,4500,1400,10.79
42,129,BRAALRACNOR6BR00,AALR3,1622046817723725,10.78,10.77,10.76,10.79,10.8,10.81,600,1300,2500,1500,4500,1400,10.79
43,129,BRAALRACNOR6BR00,AALR3,1622046842709165,10.78,10.77,10.76,10.8,10.81,10.82,1300,3300,2100,2600,1300,2800,10.79
44,129,BRAALRACNOR6BR00,AALR3,1622046842710510,10.79,10.78,10.77,10.8,10.81,10.82,100,1600,4200,2600,1700,2800,10.79
45,129,BRAALRACNOR6BR00,AALR3,1622046959185663,10.79,10.78,10.77,10.8,10.81,10.82,400,2000,3800,3000,1200,1300,10.79
46,129,BRAALRACNOR6BR00,AALR3,1622046959186162,10.79,10.78,10.77,10.8,10.81,10.82,400,1600,3800,3000,1200,1300,10.79
47,129,BRAALRACNOR6BR00,AALR3,1622046959187398,10.79,10.78,10.77,10.8,10.81,10.82,500,1600,4200,3400,1600,900,10.79
48,129,BRAALRACNOR6BR00,AALR3,1622046959446437,10.78,10.77,10.76,10.8,10.81,10.82,1100,4200,4000,2500,1600,900,10.79
49,129,BRAALRACNOR6BR00,AALR3,1622046960545198,10.78,10.77,10.76,10.8,10.81,10.82,1400,4200,4000,2500,1600,900,10.79
50,129,BRAALRACNOR6BR00,AALR3,1622046960546360,10.79,10.78,10.77,10.8,10.81,10.82,100,1800,4200,2500,1600,900,10.79
51,129,BRAALRACNOR6BR00,AALR3,1622046964093553,10.79,10.78,10.77,10.8,10.81,10.82,100,1400,4200,2500,1700,900,10.79
52,129,BRAALRACNOR6BR00,AALR3,1622046964094069,10.79,10.78,10.77,10.8,10.81,10.82,100,1400,3600,2500,1700,900,10.79
53,129,BRAALRACNOR6BR00,AALR3,1622046964095221,10.79,10.78,10.77,10.8,10.81,10.82,200,1400,3600,2900,1700,900,10.79
54,129,BRAALRACNOR6BR00,AALR3,1622047072628193,10.79,10.78,10.77,10.8,10.81,10.82,1800,1000,4200,3000,1700,1000,10.79
55,129,BRAALRACNOR6BR00,AALR3,1622047074028190,10.79,10.78,10.77,10.8,10.81,10.82,800,1000,4200,3000,1700,1000,10.79
56,129,BRAALRACNOR6BR00,AALR3,1622047074029394,10.79,10.78,10.77,10.8,10.81,10.82,900,1000,3600,3400,1700,1000,10.79
