,EsteeID,Ticker
0,BRAALRACNOR6BR00,AALR3
1,BRABCBACNPR4BR00,ABCB4
2,BRABEVACNOR1BR00,ABEV3
3,BRAGROACNOR7BR00,AGRO3
4,BRALPAACNPR7BR00,ALPA4
5,BRALSOACNOR5BR00,ALSO3
6,BRALUPCDAM15BR00,ALUP11
7,BRANIMACNOR6BR00,ANIM3
8,BRAPERACNOR9BR00,APER3
9,BRAZULACNPR4BR00,AZUL4
10,BRB3SAACNOR6BR00,B3SA3
11,BRBBASACNOR3BR00,BBAS3
12,BRBBDCACNOR1BR00,BBDC3
13,BRBBDCACNPR8BR00,BBDC4
14,BRBBSEACNOR5BR00,BBSE3
15,BRBEEFACNOR6BR00,BEEF3
16,BRBIDIACNPR0BR00,BIDI4
17,BRBIDICDAXX3BR00,BIDI11
18,BRBPACUNT006BR00,BPAC11
19,BRBRAPACNPR2BR00,BRAP4
20,BRBRDTACNOR1BR00,BRDT3
21,BRBRFSACNOR8BR00,BRFS3
22,BRBRKMACNPA4BR00,BRKM5
23,BRBRMLACNOR9BR00,BRML3
24,BRBRPRACNOR9BR00,BRPR3
25,BRBRSRACNPB4BR00,BRSR6
26,BRBTOWACNOR8BR00,BTOW3
27,BRCCROACNOR2BR00,CCRO3
28,BRCESPACNPB4BR00,CESP6
29,BRCIELACNOR3BR00,CIEL3
30,BRCMIGACNOR6BR00,CMIG3
31,BRCMIGACNPR3BR00,CMIG4
32,BRCNTOACNOR5BR00,CNTO3
33,BRCOCEACNPA3BR00,COCE5
34,BRCOGNACNOR2BR00,COGN3
35,BRCPFEACNOR0BR00,CPFE3
36,BRCPLEACNOR8BR00,CPLE3
37,BRCPLEACNPB9BR00,CPLE6
38,BRCRFBACNOR2BR00,CRFB3
39,BRCSANACNOR6BR00,CSAN3
40,BRCSMGACNOR5BR00,CSMG3
41,BRCSNAACNOR6BR00,CSNA3
42,BRCVCBACNOR1BR00,CVCB3
43,BRCYREACNOR7BR00,CYRE3
44,BRDIRRACNOR0BR00,DIRR3
45,BRDTEXACNOR3BR00,DTEX3
46,BRECORACNOR8BR00,ECOR3
47,BREGIEACNOR9BR00,EGIE3
48,BRELETACNOR6BR00,ELET3
49,BRELETACNPB7BR00,ELET6
50,BREMBRACNOR4BR00,EMBR3
51,BRENATACNOR0BR00,ENAT3
52,BRENBRACNOR2BR00,ENBR3
53,BRENEVACNOR8BR00,ENEV3
54,BRENGICDAM16BR00,ENGI11
55,BREQTLACNOR0BR00,EQTL3
56,BRETERACNOR3BR00,ETER3
57,BREVENACNOR8BR00,EVEN3
58,BREZTCACNOR0BR00,EZTC3
59,BRFESAACNPR5BR00,FESA4
60,BRFLRYACNOR5BR00,FLRY3
61,BRGGBRACNOR1BR00,GGBR3
62,BRGGBRACNPR8BR00,GGBR4
63,BRGNDIACNOR2BR00,GNDI3
64,BRGOAUACNPR8BR00,GOAU4
65,BRGOLLACNPR4BR00,GOLL4
66,BRGPCPACNOR4BR00,GPCP3
67,BRGUARACNOR4BR00,GUAR3
68,BRHAPVACNOR4BR00,HAPV3
69,BRHGTXACNOR9BR00,HGTX3
70,BRHYPEACNOR0BR00,HYPE3
71,BRIGTAACNOR5BR00,IGTA3
72,BRIRBRACNOR4BR00,IRBR3
73,BRITSAACNOR0BR00,ITSA3
74,BRITSAACNPR7BR00,ITSA4
75,BRITUBACNOR4BR00,ITUB3
76,BRITUBACNPR1BR00,ITUB4
77,BRJBSSACNOR8BR00,JBSS3
78,BRJHSFACNOR2BR00,JHSF3
79,BRKLBNCDAM18BR00,KLBN11
80,BRLAMEACNOR9BR00,LAME3
81,BRLAMEACNPR6BR00,LAME4
82,BRLCAMACNOR3BR00,LCAM3
83,BRLEVEACNOR2BR00,LEVE3
84,BRLIGTACNOR2BR00,LIGT3
85,BRLINXACNOR0BR00,LINX3
86,BRLOGGACNOR7BR00,LOGG3
87,BRLOGNACNOR3BR00,LOGN3
88,BRLRENACNOR1BR00,LREN3
89,BRLWSAACNOR8BR00,LWSA3
90,BRMDIAACNOR7BR00,MDIA3
91,BRMGLUACNOR2BR00,MGLU3
92,BRMOVIACNOR0BR00,MOVI3
93,BRMRFGACNOR0BR00,MRFG3
94,BRMRVEACNOR2BR00,MRVE3
95,BRMULTACNOR5BR00,MULT3
96,BRMYPKACNOR7BR00,MYPK3
97,BRNEOEACNOR3BR00,NEOE3
98,BRNTCOACNOR5BR00,NTCO3
99,BRODPVACNOR4BR00,ODPV3
100,BROFSAACNOR7BR00,OFSA3
101,BROMGEACNOR0BR00,OMGE3
102,BRPARDACNOR1BR00,PARD3
103,BRPCARACNOR3BR00,PCAR3
104,BRPETRACNOR9BR00,PETR3
105,BRPETRACNPR6BR00,PETR4
106,BRPETZACNOR2BR00,PETZ3
107,BRPMAMACNOR3BR00,PMAM3
108,BRPRIOACNOR1BR00,PRIO3
109,BRPSSAACNOR7BR00,PSSA3
110,BRQUALACNOR6BR00,QUAL3
111,BRRADLACNOR0BR00,RADL3
112,BRRAILACNOR9BR00,RAIL3
113,BRRAPTACNPR4BR00,RAPT4
114,BRRENTACNOR4BR00,RENT3
115,BRRLOGACNOR4BR00,RLOG3
116,BRROMIACNOR8BR00,ROMI3
117,BRSANBACNPR5BR00,SANB4
118,BRSANBCDAM13BR00,SANB11
119,BRSAPRACNPR6BR00,SAPR4
120,BRSAPRCDAM13BR00,SAPR11
121,BRSBSPACNOR5BR00,SBSP3
122,BRSCARACNOR7BR00,SCAR3
123,BRSLCEACNOR2BR00,SLCE3
124,BRSMLSACNOR1BR00,SMLS3
125,BRSMTOACNOR3BR00,SMTO3
126,BRSULACDAM12BR00,SULA11
127,BRSUZBACNOR0BR00,SUZB3
128,BRTAEECDAM10BR00,TAEE11
129,BRTASAACNPR4BR00,TASA4
130,BRTELBACNPR9BR00,TELB4
131,BRTENDACNOR4BR00,TEND3
132,BRTGMAACNOR7BR00,TGMA3
133,BRTIETCDAM15BR00,TIET11
134,BRTIMSACNOR5BR00,TIMS3
135,BRTOTSACNOR8BR00,TOTS3
136,BRTRPLACNPR1BR00,TRPL4
137,BRTUPYACNOR1BR00,TUPY3
138,BRUGPAACNOR8BR00,UGPA3
139,BRUNIPACNPB8BR00,UNIP6
140,BRUSIMACNPA6BR00,USIM5
141,BRVALEACNOR0BR00,VALE3
142,BRVIVAACNOR0BR00,VIVA3
143,BRVIVTACNOR0BR00,VIVT3
144,BRVIVTACNPR7BR00,VIVT4
145,BRVLIDACNOR5BR00,VLID3
146,BRVVARACNOR1BR00,VVAR3
147,BRWEGEACNOR0BR00,WEGE3
148,BRWIZSACNOR1BR00,WIZS3
149,BRWSONBDR009BR00,WSON33
150,BRYDUQACNOR3BR00,YDUQ3
