Creation_Date,Estee_ID,Buy_Sell_Indicator,Traded_Quantity,Traded_Price,Status,TradeTime
5/3/2021,BRSMTOACNOR3BR00,2,100,31.29,Executed,35:46.3
5/3/2021,BRBRAPACNPR2BR00,2,100,70.98,Executed,35:46.0
5/3/2021,BRCSNAACNOR6BR00,1,100,47.4799,Executed,35:53.2
5/3/2021,BRNTCOACNOR5BR00,2,100,49.58,Executed,35:50.1
5/3/2021,BRLIGTACNOR2BR00,2,100,17.36,Executed,35:47.1
5/3/2021,BRSMLSACNOR1BR00,1,100,21.39,Executed,35:49.7
5/3/2021,BRVVARACNOR1BR00,2,100,11.83,Executed,37:47.1
5/3/2021,BRMGLUACNOR2BR00,2,100,20.0799,Executed,36:01.6
5/3/2021,BRQUALACNOR6BR00,1,100,26.98,Executed,36:02.4
5/3/2021,BREMBRACNOR4BR00,2,100,15.83,Executed,35:39.2
5/3/2021,BRWIZSACNOR1BR00,1,100,10.92,Executed,35:35.6
5/3/2021,BRTOTSACNOR8BR00,2,100,32.34,Executed,35:54.4
5/3/2021,BRCYREACNOR7BR00,1,100,23.46,Executed,35:45.5
5/3/2021,BRB3SAACNOR6BR00,1,100,51.4799,Executed,35:51.2
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,35:45.6
5/3/2021,BRMULTACNOR5BR00,1,100,24.01,Executed,35:59.3
5/3/2021,BRECORACNOR8BR00,1,100,11.99,Executed,35:34.0
5/3/2021,BRBRMLACNOR9BR00,2,100,10.01,Executed,35:36.1
5/3/2021,BRABEVACNOR1BR00,1,100,14.76,Executed,36:20.2
5/3/2021,BREQTLACNOR0BR00,1,100,23.6,Executed,35:34.2
5/3/2021,BRBPACUNT006BR00,2,100,111.51,Executed,36:16.6
5/3/2021,BRRAILACNOR9BR00,2,100,20.86,Executed,35:35.2
5/3/2021,BRCCROACNOR2BR00,2,100,12.6199,Executed,36:12.8
5/3/2021,BRECORACNOR8BR00,1,100,11.99,Executed,35:40.2
5/3/2021,BRIGTAACNOR5BR00,1,100,38.76,Executed,35:59.3
5/3/2021,BRITSAACNPR7BR00,1,100,10.16,Executed,35:56.2
5/3/2021,BRLOGNACNOR3BR00,2,100,20.7,Executed,37:09.8
5/3/2021,BRBRKMACNPA4BR00,1,100,49.72,Executed,35:36.7
5/3/2021,BRALPAACNPR7BR00,1,100,39.77,Executed,36:15.7
5/3/2021,BRKLBNCDAM18BR00,2,100,27.54,Executed,35:51.8
5/3/2021,BRSANBCDAM13BR00,2,100,39.05,Executed,35:40.9
5/3/2021,BRTENDACNOR4BR00,2,100,25.96,Executed,36:41.7
5/3/2021,BRENBRACNOR2BR00,2,100,18.79,Executed,37:00.4
5/3/2021,BRTAEECDAM10BR00,2,100,42.22,Executed,35:57.3
5/3/2021,BRJBSSACNOR8BR00,1,100,29.42,Executed,36:22.9
5/3/2021,BRHAPVACNOR4BR00,2,100,14.89,Executed,36:00.3
5/3/2021,BRDIRRACNOR0BR00,2,100,12.92,Executed,36:16.4
5/3/2021,BRCRFBACNOR2BR00,1,100,21.25,Executed,35:36.3
5/3/2021,BRMRVEACNOR2BR00,2,100,17.26,Executed,36:09.8
5/3/2021,BROMGEACNOR0BR00,2,100,38.04,Executed,36:06.5
5/3/2021,BRHGTXACNOR9BR00,2,100,26.93,Executed,35:56.8
5/3/2021,BRBEEFACNOR6BR00,2,100,9.85,Executed,37:16.0
5/3/2021,BRENEVACNOR8BR00,1,100,14.64,Executed,35:38.4
5/3/2021,BRBTOWACNOR8BR00,2,100,67.34,Executed,35:37.6
5/3/2021,BRELETACNOR6BR00,1,100,36.74,Executed,35:47.4
5/3/2021,BREQTLACNOR0BR00,1,100,23.59,Executed,35:40.2
5/3/2021,BRDTEXACNOR3BR00,1,100,22.12,Executed,36:05.4
5/3/2021,BRBBDCACNOR1BR00,2,100,21.2399,Executed,36:18.0
5/3/2021,BRUSIMACNPA6BR00,1,100,21.62,Executed,35:39.6
5/3/2021,BRAZULACNPR4BR00,1,100,38.07,Executed,35:35.2
5/3/2021,BRAZULACNPR4BR00,1,100,38.07,Executed,36:00.0
5/3/2021,BRUGPAACNOR8BR00,2,100,21.37,Executed,35:52.7
5/3/2021,BRCPLEACNPB9BR00,1,100,6.07,Executed,36:52.8
5/3/2021,BRCIELACNOR3BR00,1,100,3.42,Executed,38:05.1
5/3/2021,BRPETRACNPR6BR00,1,100,23.4,Executed,35:39.9
5/3/2021,BRLCAMACNOR3BR00,1,100,26.28,Executed,35:40.4
5/3/2021,BRBBDCACNPR8BR00,2,100,24.5799,Executed,35:42.9
5/3/2021,BRWIZSACNOR1BR00,1,100,10.92,Executed,35:50.1
5/3/2021,BRCPFEACNOR0BR00,2,100,27.73,Executed,35:46.2
5/3/2021,BRVALEACNOR0BR00,1,100,108.77,Executed,35:38.8
5/3/2021,BRYDUQACNOR3BR00,1,100,29.15,Executed,35:43.0
5/3/2021,BRBRMLACNOR9BR00,2,100,10,Executed,36:16.1
5/3/2021,BRALSOACNOR5BR00,2,100,26.28,Executed,36:36.0
5/3/2021,BRRAILACNOR9BR00,2,100,20.87,Executed,37:23.8
5/3/2021,BRSBSPACNOR5BR00,2,100,40.06,Executed,35:41.4
5/3/2021,BRCMIGACNPR3BR00,2,100,12.07,Executed,37:08.3
5/3/2021,BRGOAUACNPR8BR00,1,100,14.57,Executed,35:49.1
5/3/2021,BRSLCEACNOR2BR00,2,100,50.58,Executed,35:46.7
5/3/2021,BRCRFBACNOR2BR00,1,100,21.25,Executed,35:36.3
5/3/2021,BRGNDIACNOR2BR00,2,100,83.11,Executed,35:58.5
5/3/2021,BRGGBRACNPR8BR00,2,100,32.51,Executed,36:10.4
5/3/2021,BREZTCACNOR0BR00,1,100,32.4099,Executed,35:57.8
5/3/2021,BRBIDIACNPR0BR00,1,100,77.23,Executed,36:00.5
5/3/2021,BRMRFGACNOR0BR00,1,100,18.76,Executed,36:15.8
5/3/2021,BRITUBACNPR1BR00,2,100,27.86,Executed,35:54.7
5/3/2021,BRBRFSACNOR8BR00,2,100,20.5,Executed,36:01.8
5/3/2021,BRPETRACNOR9BR00,1,100,22.92,Executed,35:45.4
5/3/2021,BRVIVTACNOR0BR00,1,100,42.77,Executed,36:00.6
5/3/2021,BRCPLEACNOR8BR00,1,100,5.5199,Executed,36:32.1
5/3/2021,BRTUPYACNOR1BR00,1,100,23.52,Executed,36:14.1
5/3/2021,BRENGICDAM16BR00,1,100,43.37,Executed,36:00.6
5/3/2021,BRPRIOACNOR1BR00,2,100,91.52,Executed,36:11.5
5/3/2021,BRCRFBACNOR2BR00,1,100,21.25,Executed,35:37.3
5/3/2021,BRCRFBACNOR2BR00,1,100,21.25,Executed,35:38.0
5/3/2021,BRCVCBACNOR1BR00,1,100,23.04,Executed,36:01.1
5/3/2021,BRRAPTACNPR4BR00,2,100,14.24,Executed,35:58.8
5/3/2021,BRBRPRACNOR9BR00,1,100,9.32,Executed,36:51.7
5/3/2021,BRRADLACNOR0BR00,1,100,26.56,Executed,35:59.7
5/3/2021,BRCRFBACNOR2BR00,1,100,21.25,Executed,35:47.9
5/3/2021,BRBBSEACNOR5BR00,2,100,22.29,Executed,36:20.1
5/3/2021,BRSAPRCDAM13BR00,1,100,20.91,Executed,35:54.9
5/3/2021,BRLAMEACNPR6BR00,1,100,21.03,Executed,35:42.5
5/3/2021,BRLAMEACNOR9BR00,2,100,19.76,Executed,35:45.0
5/3/2021,BRBTOWACNOR8BR00,2,100,67.19,Executed,35:42.8
5/3/2021,BRENATACNOR0BR00,1,100,14.55,Executed,36:10.5
5/3/2021,BRENEVACNOR8BR00,1,100,14.63,Executed,35:38.6
5/3/2021,BRENEVACNOR8BR00,1,100,14.65,Executed,37:00.5
5/3/2021,BRMOVIACNOR0BR00,1,100,16.57,Executed,35:57.8
5/3/2021,BREMBRACNOR4BR00,2,100,15.84,Executed,35:40.9
5/3/2021,BRITUBACNOR4BR00,1,100,24.76,Executed,35:52.5
5/3/2021,BRETERACNOR3BR00,2,100,22.7,Executed,35:54.1
5/3/2021,BRSULACDAM12BR00,2,100,33.08,Executed,36:16.1
5/3/2021,BRHYPEACNOR0BR00,2,100,34.34,Executed,36:09.3
5/3/2021,BREGIEACNOR9BR00,2,100,40.9799,Executed,35:45.9
5/3/2021,BRBRKMACNPA4BR00,1,100,49.7299,Executed,35:52.6
5/3/2021,BRELETACNPB7BR00,1,100,36.88,Executed,36:00.5
5/3/2021,BRALUPCDAM15BR00,2,100,26.98,Executed,36:03.4
5/3/2021,BRPETRACNPR6BR00,1,100,23.4,Executed,35:45.4
5/3/2021,BRECORACNOR8BR00,1,100,11.99,Executed,35:59.6
5/3/2021,BREQTLACNOR0BR00,1,100,23.59,Executed,36:04.1
5/3/2021,BRUSIMACNPA6BR00,1,100,21.62,Executed,35:52.0
5/3/2021,BRLCAMACNOR3BR00,1,100,26.29,Executed,35:58.8
5/3/2021,BRCMIGACNOR6BR00,2,100,14.15,Executed,38:03.2
5/3/2021,BRTRPLACNPR1BR00,2,100,26.69,Executed,35:45.5
5/3/2021,BREMBRACNOR4BR00,2,100,15.85,Executed,36:00.7
5/3/2021,BRSANBCDAM13BR00,2,100,39.03,Executed,35:58.1
5/3/2021,BRABCBACNPR4BR00,2,100,14.93,Executed,35:41.1
5/3/2021,BRABCBACNPR4BR00,2,100,14.94,Executed,35:41.1
5/3/2021,BRABCBACNPR4BR00,2,100,14.93,Executed,37:02.8
5/3/2021,BRFLRYACNOR5BR00,1,100,25.09,Executed,36:02.4
5/3/2021,BRANIMACNOR6BR00,1,100,10.8,Executed,37:27.9
5/3/2021,BRBRSRACNPB4BR00,2,100,12.18,Executed,38:59.0
5/3/2021,BRROMIACNOR8BR00,1,100,30.52,Executed,35:42.1
5/3/2021,BRJHSFACNOR2BR00,2,100,6.96,Executed,35:59.3
5/3/2021,BRGUARACNOR4BR00,2,100,17.22,Executed,36:43.4
5/3/2021,BRLINXACNOR0BR00,1,100,37.6599,Executed,36:11.7
5/3/2021,BRLAMEACNPR6BR00,1,100,21.02,Executed,35:50.3
5/3/2021,BRGOLLACNPR4BR00,2,100,23.47,Executed,36:04.8
5/3/2021,BRBBDCACNPR8BR00,2,100,24.5799,Executed,35:42.9
5/3/2021,BRBBDCACNPR8BR00,2,100,24.54,Executed,35:54.9
5/3/2021,BRYDUQACNOR3BR00,1,100,29.14,Executed,36:00.2
5/3/2021,BRROMIACNOR8BR00,1,100,30.55,Executed,36:06.0
5/3/2021,BRTASAACNPR4BR00,1,100,26,Executed,36:58.9
5/3/2021,BRCESPACNPB4BR00,2,100,25.04,Executed,36:00.4
5/3/2021,BRPETRACNPR6BR00,1,100,23.4,Executed,35:48.3
5/3/2021,BRTRPLACNPR1BR00,2,100,26.7,Executed,35:47.8
5/3/2021,BRCYREACNOR7BR00,1,100,23.46,Executed,36:01.1
5/3/2021,BRPETRACNOR9BR00,1,100,22.91,Executed,36:01.1
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,35:51.5
5/3/2021,BRBRAPACNPR2BR00,2,100,70.98,Executed,35:46.1
5/3/2021,BRBRAPACNPR2BR00,2,100,70.91,Executed,36:09.5
5/3/2021,BRSMTOACNOR3BR00,2,100,31.3,Executed,36:01.2
5/3/2021,BRSLCEACNOR2BR00,2,100,50.57,Executed,35:47.4
5/3/2021,BREGIEACNOR9BR00,2,100,40.97,Executed,37:07.7
5/3/2021,BRLIGTACNOR2BR00,2,100,17.36,Executed,36:00.3
5/3/2021,BRELETACNOR6BR00,1,100,36.7299,Executed,35:48.8
5/3/2021,BRCRFBACNOR2BR00,1,100,21.2399,Executed,36:45.6
5/3/2021,BRPETRACNPR6BR00,1,100,23.39,Executed,36:04.2
5/3/2021,BRELETACNOR6BR00,1,100,36.7299,Executed,36:09.9
5/3/2021,BRGOAUACNPR8BR00,1,100,14.57,Executed,35:51.2
5/3/2021,BRTRPLACNPR1BR00,2,100,26.7,Executed,36:11.7
5/3/2021,BRWIZSACNOR1BR00,1,100,10.92,Executed,35:50.4
5/3/2021,BRNTCOACNOR5BR00,2,100,49.58,Executed,35:52.9
5/3/2021,BRLAMEACNPR6BR00,1,100,21,Executed,35:50.3
5/3/2021,BRLAMEACNPR6BR00,1,100,20.9899,Executed,35:52.8
5/3/2021,BRWIZSACNOR1BR00,1,100,10.91,Executed,35:56.8
5/3/2021,BRB3SAACNOR6BR00,1,100,51.47,Executed,35:51.2
5/3/2021,BRB3SAACNOR6BR00,1,100,51.45,Executed,36:01.1
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,35:52.1
5/3/2021,BRKLBNCDAM18BR00,2,100,27.54,Executed,35:51.8
5/3/2021,BRKLBNCDAM18BR00,2,100,27.54,Executed,36:57.2
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,35:52.6
5/3/2021,BRITUBACNOR4BR00,1,100,24.7399,Executed,36:57.1
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,35:56.1
5/3/2021,BRBRKMACNPA4BR00,1,100,49.7299,Executed,35:54.3
5/3/2021,BRLAMEACNPR6BR00,1,100,20.98,Executed,36:00.5
5/3/2021,BRUSIMACNPA6BR00,1,100,21.62,Executed,35:59.5
