,Creation_Date,EsteeID,Buy_Sell_Indicator,Traded_Quantity,Traded_Price,Status,TradeTime
0,2021-05-17,BRSAPRACNPR6BR00,1,100,4.15,Executed,16:46:30.793000
1,2021-05-17,BRPETRACNPR6BR00,1,100,26.63,Executed,16:36:25.037000
2,2021-05-17,BRPRIOACNOR1BR00,2,100,18.8,Executed,16:36:00.570000
3,2021-05-17,BRVALEACNOR0BR00,1,100,113.3,Executed,16:35:37.073000
4,2021-05-17,BRSUZBACNOR0BR00,1,100,66.72,Executed,16:35:38.477000
5,2021-05-17,BRBRKMACNPA4BR00,1,100,53.95,Executed,16:35:39.507000
6,2021-05-17,BRBRAPACNPR2BR00,2,100,72.78,Executed,16:35:48.773000
7,2021-05-17,BRTIMSACNOR5BR00,1,100,12.16,Executed,16:37:08.947000
8,2021-05-17,BRCIELACNOR3BR00,1,100,3.66,Executed,16:48:26.200000
9,2021-05-17,BRBRDTACNOR1BR00,1,100,24.81,Executed,16:35:33.703000
10,2021-05-17,BRDTEXACNOR3BR00,2,100,21.36,Executed,16:35:33.870000
11,2021-05-17,BRCOGNACNOR2BR00,2,100,4.05,Executed,16:52:01.270000
12,2021-05-17,BRANIMACNOR6BR00,1,100,11.86,Executed,16:36:47.060000
13,2021-05-17,BRCMIGACNOR6BR00,2,100,14.87,Executed,16:38:44.157000
14,2021-05-17,BRCSNAACNOR6BR00,2,100,48.19,Executed,16:35:49.877000
15,2021-05-17,BRCPFEACNOR0BR00,1,100,28.2,Executed,16:37:15.613000
16,2021-05-17,BRRAPTACNPR4BR00,2,100,14.67,Executed,16:35:37.980000
17,2021-05-17,BRB3SAACNOR6BR00,1,100,17.63,Executed,16:35:54.307000
18,2021-05-17,BRCRFBACNOR2BR00,1,100,20.29,Executed,16:36:00.467000
19,2021-05-17,BRRENTACNOR4BR00,2,100,59.87,Executed,16:36:40.137000
20,2021-05-17,BRDIRRACNOR0BR00,1,100,14.28,Executed,16:36:05.613000
21,2021-05-17,BRBEEFACNOR6BR00,2,100,9.88,Executed,16:37:00.730000
22,2021-05-17,BRBRDTACNOR1BR00,1,100,24.81,Executed,16:35:34.717000
