,Creation_Date,EsteeID,Buy_Sell_Indicator,Traded_Quantity,Traded_Price,Status,TradeTime
0,2021-05-31,BRCSANACNOR6BR00,2,100,23.59,Executed,16:30:29.243000
1,2021-05-31,BREQTLACNOR0BR00,1,100,24.62,Executed,16:30:34.253000
2,2021-05-31,BRB3SAACNOR6BR00,2,100,17.59,Executed,16:31:15.347000
3,2021-05-31,BRECORACNOR8BR00,2,100,12.51,Executed,16:32:17.467000
4,2021-05-31,BRIRBRACNOR4BR00,1,100,5.92,Executed,16:32:27.630000
5,2021-05-31,BRLRENACNOR1BR00,1,100,46.86,Executed,16:30:37.727000
6,2021-05-31,BRBTOWACNOR8BR00,2,100,59.65,Executed,16:30:51.057000
7,2021-05-31,BRLAMEACNPR6BR00,2,100,19.92,Executed,16:30:50.767000
8,2021-05-31,BRAZULACNPR4BR00,2,100,42.88,Executed,16:33:06.690000
9,2021-05-31,BRBBDCACNPR8BR00,1,100,26.41,Executed,16:30:36.090000
10,2021-05-31,BRJHSFACNOR2BR00,2,100,7.58,Executed,16:31:46.353000
11,2021-05-31,BRITSAACNPR7BR00,1,100,10.8699,Executed,16:33:03.233000
12,2021-05-31,BRENEVACNOR8BR00,2,100,18.43,Executed,16:31:15.707000
13,2021-05-31,BRCYREACNOR7BR00,2,100,23.92,Executed,16:30:44.633000
14,2021-05-31,BRHYPEACNOR0BR00,1,100,36.39,Executed,16:31:33.590000
15,2021-05-31,BRITUBACNPR1BR00,1,100,29.49,Executed,16:31:30.510000
16,2021-05-31,BRCCROACNOR2BR00,1,100,13.68,Executed,16:31:08.630000
17,2021-05-31,BRENBRACNOR2BR00,1,100,18.6,Executed,16:30:30.647000
18,2021-05-31,BRBPACUNT006BR00,1,100,123.67,Executed,16:30:30.583000
19,2021-05-31,BRBBDCACNOR1BR00,1,100,22.77,Executed,16:30:44.720000
20,2021-05-31,BRCIELACNOR3BR00,2,100,4.22,Executed,16:43:47.673000
21,2021-05-31,BRBBASACNOR3BR00,2,100,33.53,Executed,16:30:57.097000
22,2021-05-31,BRJBSSACNOR8BR00,1,100,30.16,Executed,16:30:42.980000
23,2021-05-31,BRBRDTACNOR1BR00,2,100,25.72,Executed,16:30:46.233000
24,2021-05-31,BRFLRYACNOR5BR00,2,100,26.42,Executed,16:31:31.877000
25,2021-05-31,BRBRAPACNPR2BR00,2,100,71.22,Executed,16:30:59.640000
26,2021-05-31,BREMBRACNOR4BR00,2,100,17.35,Executed,16:30:36.810000
27,2021-05-31,BRABEVACNOR1BR00,1,100,17.94,Executed,16:30:37.970000
28,2021-05-31,BRBBSEACNOR5BR00,1,100,23.34,Executed,16:31:00.020000
29,2021-05-31,BRCSANACNOR6BR00,2,100,23.59,Executed,16:30:42.047000
30,2021-05-31,BRKLBNCDAM18BR00,2,100,26.28,Executed,16:30:29.860000
31,2021-05-31,BRELETACNOR6BR00,2,100,43.47,Executed,16:30:30.650000
32,2021-05-31,BRELETACNPB7BR00,1,100,43.43,Executed,16:30:39.163000
33,2021-05-31,BRKLBNCDAM18BR00,2,100,26.28,Executed,16:30:33.143000
34,2021-05-31,BRGNDIACNOR2BR00,2,100,88.1,Executed,16:30:54.687000
35,2021-05-31,BRCVCBACNOR1BR00,1,100,24.5799,Executed,16:31:04.460000
36,2021-05-31,BRBPACUNT006BR00,1,100,123.65,Executed,16:31:01.847000
37,2021-05-31,BRQUALACNOR6BR00,1,100,29.13,Executed,16:30:43.683000
38,2021-05-31,BRENGICDAM16BR00,1,100,46.1599,Executed,16:31:00.900000
39,2021-05-31,BRBEEFACNOR6BR00,2,100,9.89,Executed,16:36:00.620000
40,2021-05-31,BRENBRACNOR2BR00,1,100,18.6,Executed,16:30:30.723000
41,2021-05-31,BRELETACNOR6BR00,2,100,43.4799,Executed,16:30:30.660000
42,2021-05-31,BRELETACNOR6BR00,2,100,43.44,Executed,16:31:15.183000
43,2021-05-31,BRENBRACNOR2BR00,1,100,18.59,Executed,16:32:45.390000
44,2021-05-31,BRWEGEACNOR0BR00,1,100,34.24,Executed,16:30:33.523000
45,2021-05-31,BRSUZBACNOR0BR00,1,100,60.71,Executed,16:30:34.620000
46,2021-05-31,BRMGLUACNOR2BR00,1,100,20.04,Executed,16:31:01.747000
47,2021-05-31,BRUGPAACNOR8BR00,2,100,19.29,Executed,16:30:46.580000
48,2021-05-31,BRYDUQACNOR3BR00,2,100,32.95,Executed,16:33:21.007000
49,2021-05-31,BRPETRACNPR6BR00,2,100,26.9,Executed,16:30:33.563000
50,2021-05-31,BRMRFGACNOR0BR00,2,100,18.2399,Executed,16:32:01.217000
51,2021-05-31,BRPETRACNOR9BR00,1,100,26.49,Executed,16:31:12.953000
52,2021-05-31,BRHAPVACNOR4BR00,1,100,15.93,Executed,16:31:48.203000
53,2021-05-31,BRANIMACNOR6BR00,1,100,12.59,Executed,16:31:09.677000
54,2021-05-31,BRSMLSACNOR1BR00,2,100,22.4899,Executed,16:31:21.293000
55,2021-05-31,BRBRSRACNPB4BR00,2,100,13.58,Executed,16:35:17.160000
56,2021-05-31,BRVVARACNOR1BR00,2,100,13.0399,Executed,16:30:51.820000
57,2021-05-31,BRABCBACNPR4BR00,2,100,17.11,Executed,16:31:04.993000
58,2021-05-31,BRCRFBACNOR2BR00,2,100,22.18,Executed,16:31:35.067000
